type,label
corn-soybeans-alfalfa,Corn/soybeans/alfalfa
fruit-vegetable-field,Fruit/vegetable field
orchard,Orchard
lawn-and-garden,Lawn and garden
road-field-edge,Road or field edge
prairie,Prairie
woodland,Woodland
other,Other
