crop,new_crop
creeping-charlie,species:glechoma-hederacea
cup-plant,species:silphium-perfoliatum
dandelion,genus:taraxacum
goldenrod,genus:solidago
leadplant,species:amorpha-canescens
milkweed,genus:asclepias
white-clover,species:trifolium-repens
wild-bergamot,species:monarda-fistulosa
american-gromwell,species:lithospermum-latifolium
forked-aster,species:eurybia-furcata
lesser-purple-fringed-orchid,species:platanthera-psycodes
lesser-yellow-lady-slipper,species:cypripedium-parviflorum
